Municipio;População residente;Perc População Rural; Unidade Domestica ; Rendimento mensal total domiciliar per capita nominal ;Perc Alfabetizacao;Perc Saneamento Adequado;Perc Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência;Perc Pessoas mais de 10 anos com rendimento;Perc Pessoas acima 25 anos com pelo menos fundamento completo;Perc Economicamente Ativa com Rendimento;IDHM 2010;IDHM Faixas;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010;Gini
Morpará;8280;33,12;2393;216;59,71;3,26;83,1;54,2;17,56;44,41;55,8;Baixo;55,2;69,5;39,5;55,57
Muniz Ferreira;7317;53,61;2249;279;65,07;19,39;86,1;64,41;30,69;51,74;61,7;Alto;55,2;76,3;40,7;52,03
Nova Fátima;7602;33,25;2408;275;63,69;60,59;85,98;67,63;22,49;53,48;59,7;Médio Alto;56,3;77;38,6;44,32
Nova Ibiá;6648;57,78;2022;308;57,64;33,09;82,75;68,77;19,81;55,31;57;Médio Baixo;52,2;77,1;39,2;56,35
Nova Itarana;7435;63,48;2096;179;57,44;2,67;81,56;54,97;15,77;41,04;52,4;Baixo;51,4;73,7;34,3;56,03
Nova Redenção;8034;34,81;2120;225;60,02;5,38;83,55;56,81;20,84;52,02;56,7;Médio Baixo;53,9;77,5;37,4;50,95
Ouriçangas;8298;66,71;2417;259;58,95;14,03;85,45;65,53;23,88;59,5;60,7;Médio Alto;57;73,9;40,5;45,52
Palmeiras;8410;37,71;2441;285;74,77;27,41;81,58;64,64;37,47;56,38;64,3;Alto;55,7;75,8;41,3;58,34
Pedrão;6876;75,04;1877;224;67,6;1,81;84,15;57,1;24,47;51,16;58,8;Médio Baixo;48,8;76,1;44,5;47,53
Piraí do Norte;9799;62,35;2633;235;63,4;18,88;80,99;62,94;18,8;53,52;53,3;Baixo;53,4;81;40,3;49,41
Planaltino;8822;58,74;2529;245;51,44;0,43;84,84;66,02;17,28;57,09;57,2;Médio Baixo;53,6;72,5;40,9;56,31
Potiraguá;9810;32,68;2808;305;67,65;74,29;83,07;66,13;29,26;54,58;62,5;Alto;50,3;75;45,7;49,47
Quixabeira;9554;61,66;3036;214;54,39;3,66;83,74;65,48;18,88;55,67;57,8;Médio Baixo;52,6;71,8;43,2;50,53
Ribeirão do Largo;8602;45,98;2428;250;56,45;28,71;81,05;66,1;15,34;52,78;54;Baixo;48,9;77,8;35,4;47,18
Rodelas;7775;15,88;2094;258;69,13;79,27;80,07;57,97;40,96;44,74;63,2;Alto;55,9;76,6;40,6;55,58
Santa Cruz da Vitória;6673;23,93;1761;251;62,9;71,83;84,7;49,17;32,35;36,08;61;Médio Alto;54,8;71,2;43,9;58,19
Santa Teresinha;9648;75,81;2886;234;62,38;3,53;84,37;58,15;22,84;45,58;58,7;Médio Baixo;54,8;77;43,7;54,24
Santanópolis;8776;80,81;2480;234;64,63;0,81;82,55;61,33;26,54;58,47;59,2;Médio Alto;50,6;77,6;42,4;52,56
São Domingos;9226;35,88;2911;290;65,97;62,56;85;74,21;31,49;62,27;64;Alto;53,6;73,2;44,4;47,29
São José da Vitória;5715;9,68;1711;229;60,21;68,85;81,72;62,42;22,23;43,49;54,6;Baixo;50,8;72,9;38,9;46,06
Tanquinho;8008;28,68;2222;279;70,45;44,24;84,3;58,75;34,18;43,9;59,7;Médio Alto;51,4;72,9;44,7;48,54
Teodoro Sampaio;7895;19,68;2447;247;65,32;18,72;84,81;57,7;30,21;44,48;59,4;Médio Alto;51,1;74,9;43,5;56,42
Várzea do Poço;8661;33,16;2811;255;63,51;19,42;85,69;69,27;24,24;53,07;57,5;Médio Baixo;53,3;77,2;38,6;51,29
Varzedo;9109;63,07;2718;252;60,3;17,99;84,87;65,96;23,83;58,8;58,6;Médio Baixo;56,1;68,9;42,4;52,37
Vereda;6800;79,72;2087;277;54,91;27,31;83,55;60,04;18,45;45,26;57,7;Médio Baixo;53,9;68,9;43,4;47,29
Wagner;8983;27,84;2461;242;69,21;1,02;82,64;62,2;28,62;53,9;58,7;Médio Baixo;51,6;75,1;42,5;52,62
Abaré;17064;47,09;4314;202;63,1;43,14;79,72;54,6;26,46;49,94;57,5;Médio Baixo;53,3;74,6;52,3;56,21
Acajutiba;14653;12,82;4103;229;68,65;6,9;81,26;59,56;26,85;49,18;58,2;Médio Baixo;53,9;76,9;46,8;57,91
Adustina;15702;64,51;4522;208;48,34;23,18;83,32;58,82;14,22;45,08;54,6;Baixo;58,6;73,1;47,4;54,78
Água Fria;15731;63,28;4585;211;60,08;2,33;84,24;53,83;20,68;52,96;55;Baixo;52,7;76,3;50,5;53,76
América Dourada;15961;32,13;4325;179;62,07;1,32;80,25;58,35;22,56;47,11;56,1;Baixo;55,5;74;46,5;50,49
Andaraí;13960;44,32;3747;203;63,62;11,69;80,69;54,18;21,23;48,29;55,5;Baixo;57,1;78,9;42,4;60,17
Andorinha;14414;56,93;4621;265;61,61;34,78;84,67;63,66;24,19;52,89;58,8;Médio Baixo;53,9;76,2;47,5;55,88
Angical;14073;53,59;3792;253;63,95;3,51;83,76;55,38;26,7;49,23;62,5;Alto;53;76,4;49,2;56,48
Anguera;10242;57,76;2521;250;64,34;21,26;85,43;58,59;25,26;45,19;58,9;Médio Baixo;55,2;75,4;44,5;48,68
Antas;17072;62,75;4624;252;55,69;50,04;86,43;56,23;27,34;42,99;59,2;Médio Alto;56,7;77,4;47,7;56,2
Antônio Cardoso;11554;72,09;2890;229;57,35;12,18;83,36;61,53;23,29;64,25;56,1;Baixo;56,3;75,1;42,1;45,83
Antônio Gonçalves;11015;47,5;3084;241;71,57;10,47;82,72;64,62;27,51;52,03;59,8;Médio Alto;54,4;72;47,6;51,57
Aporá;17731;52,03;5172;201;60,43;0,87;82,01;57,44;21,06;53,16;54,8;Baixo;56,8;76,1;47;56,62
Araças;11561;49,77;3121;229;67,32;2,5;81,49;51,81;28,67;47,72;57;Médio Baixo;56,2;71;45,2;54,37
Aracatu;13743;71,35;3650;267;55,16;0,71;85,13;70,28;14,11;60,11;58,1;Médio Baixo;52,7;77,9;47,1;44,73
Aramari;10036;48,93;2675;276;70,65;6,43;84,59;52,05;30,48;43,36;58,8;Médio Baixo;54;74,4;46,2;52,53
Arataca;10392;46,23;3029;256;57,7;15,35;78,91;67,08;21,5;49,93;55,9;Baixo;55;74;43,5;47,06
Aurelino Leal;13595;15,95;3923;235;61,93;45,04;82,22;62,49;23,41;47,22;56,8;Médio Baixo;50,4;76,1;47,1;45,88
Baianópolis;13850;74,86;3822;226;55,88;2,15;82,17;54,65;20,98;44,66;58,9;Médio Baixo;59,1;75,4;43,9;57,89
Banzaê;11814;65,79;3035;220;62,42;13,01;82,29;59,23;20,88;49,49;57,9;Médio Baixo;56,6;76;44,9;47,16
Barra do Mendes;13987;55,27;4113;259;78,51;2,16;82,97;60,8;27,42;48,79;63;Alto;54,9;77,5;47,1;57,75
Barro Alto;13612;50,69;3977;218;73,71;6,51;81,86;68,94;25,58;61,37;60,7;Médio Alto;58;72,7;47;51,25
Barrocas;14191;59,87;3871;254;71,21;24,98;82,63;66,68;26,38;65,03;61;Médio Alto;55,4;77,5;46,2;46,72
Belo Campo;16021;43,64;4359;247;61,44;0,02;83,9;63,63;18,08;53,49;57,5;Médio Baixo;57;72,4;50,2;49,72
Biritinga;14836;76,29;4120;206;62,09;15,17;83,3;53,49;19,3;51,44;53,8;Baixo;57;75,3;44,3;56,1
Boa Nova;15411;62,34;4223;226;53,75;27,61;83,37;59,66;15,37;46,13;56,7;Médio Baixo;56,5;77,2;44;52
Boa Vista do Tupim;17991;63,35;4956;193;57,57;4,26;81,62;57,19;18,36;46,85;55,1;Baixo;55,4;76,6;47,8;56,27
Bom Jesus da Serra;10113;72,63;2624;203;60,23;0,5;82,92;58,65;14,86;44,21;54,6;Baixo;55,7;73,8;42,8;52,8
Boninal;13695;66,36;3392;238;67,78;6,52;84,02;54,34;21,94;47,23;61,2;Médio Alto;55,4;73,4;49;55,75
Bonito;14834;57,99;3959;206;72,9;4,75;79,59;66,74;23,66;63,44;56,1;Baixo;54,5;74,6;50,4;50,58
Botuporã;11154;63,46;2944;225;61,05;27,17;84,63;60,97;19,24;60,25;57,5;Médio Baixo;54,1;73,2;45,9;53,34
Brejões;14282;65,43;3950;266;64,14;30,68;84,18;58,02;24,69;46,71;59,7;Médio Alto;55,9;78,9;44,7;51,81
Brejolândia;11077;82,09;3136;209;60,4;0,41;83,92;55,25;23,81;40,88;59,2;Médio Alto;62;71,4;41,9;56,48
Brotas de Macaúbas;10717;70,91;3199;246;68,89;21,79;83,35;57,51;22,21;47,75;57;Médio Baixo;53,1;73,2;46,3;56,99
Buerarema;18605;17,89;5489;294;65,48;58,74;84,67;54,16;30,57;40,27;61,3;Médio Alto;58,3;77,8;47,4;57,6
Buritirama;19600;59,67;4588;161;64,44;1,63;80,94;50,03;23,1;49,08;56,5;Baixo;56;72,1;50,8;55,31
Caatiba;11420;52,73;2924;266;55,74;57,05;83,19;65,99;17,98;49,41;56,1;Baixo;53,4;74,7;38,1;40,59
Cabaceiras do Paraguaçu;17327;73,2;4316;184;63,56;4,01;80,46;55,56;22,58;65;58,1;Médio Baixo;56,3;77,5;47,9;54,55
Caém;10368;64,75;2966;213;64,72;6,57;81,34;57,49;21,79;50,55;54,6;Baixo;50,1;74,7;37,2;55,01
Caetanos;13639;75,87;3211;212;58,97;1,84;84,51;54,03;14,69;35,26;54,2;Baixo;56,2;76;44,4;50,28
Cafarnaum;17209;38,62;4740;206;69,49;3,57;81,62;65,32;25,04;47,51;58,4;Médio Baixo;56,8;78,3;46,8;55,78
Cairu;15374;47,01;4724;328;77,56;41,87;81,56;64,5;36,27;57,26;62,7;Alto;55,4;74,7;52,7;54,74
Caldeirão Grande;12491;63,51;3525;194;58,63;7,21;80,94;58,9;23,57;58,74;57,3;Médio Baixo;59,5;71,3;45,4;56,02
Candiba;13210;41,52;3675;263;60,23;0,44;85,75;67,29;21,54;55,08;59,1;Médio Alto;56,7;74,4;46,4;44,61
Canudos;15732;44,71;4231;235;64,54;14,75;80,79;62,08;21,97;52,18;56,2;Baixo;55,8;73,6;49,9;53,81
Capela do Alto Alegre;11527;51,46;3755;274;56,99;30,01;85,64;64,98;21,89;53,57;59,9;Médio Alto;54,3;76,9;44,7;49,77
Caraíbas;10222;75,42;2907;248;49,81;3,65;85,03;64,64;12,99;45,37;55,5;Baixo;54,6;76,2;36,3;49,3
Central;17013;52,05;4938;213;71,3;6,03;82,26;60,42;30,92;49,62;59,6;Médio Alto;57,5;73,8;50,1;54,27
Chorrochó;10734;75,49;2739;219;60,35;24,94;80,89;56,49;25,26;45,97;60;Médio Alto;53,6;71,9;48,5;58,11
Cipó;15755;28,36;4420;273;65,88;5,75;82,2;65,4;30,43;54,71;60,1;Médio Alto;55,9;76,4;50;54,75
Cocos;18153;52,78;4855;270;63,86;0,43;82,66;55,09;20,3;46,93;59,6;Médio Alto;55,8;75,7;50,3;56,38
Conceição do Almeida;17889;55,69;5097;268;68,23;19,33;86,49;53,09;28,79;44,41;60,6;Médio Alto;54,8;74,9;52,3;58,33
Condeúba;16898;55,84;4697;257;59,66;5,17;84,48;62,76;20,56;46,14;58,2;Médio Baixo;57,3;74,1;49;49,75
Coribe;14307;57,08;4228;236;57,87;1,21;84,42;56,62;24,3;45,47;60;Médio Alto;58,1;75,9;44,7;58,77
Coronel João Sá;17066;58,73;4868;225;44,99;26,73;81,9;64,2;15,1;51,7;53,5;Baixo;56,1;77,7;46,2;48,83
Cotegipe;13636;51,25;3726;214;57,33;0,64;82,42;56,76;23,99;50,28;59;Médio Alto;60,8;76,8;41,9;55,99
Cristópolis;13280;76,41;3724;221;55,65;4,7;83,98;58,69;26,9;41,43;61,4;Médio Alto;55,8;75,8;47,1;54,57
Dário Meira;12836;60,35;3381;210;51,67;38,54;81,73;52,53;20,9;48,76;54;Baixo;55,1;70,5;45,1;55,78
Dom Basílio;11355;80,26;2971;248;63,42;0,07;85,29;66,41;21,37;53,46;59,1;Médio Alto;57,7;73,6;43,5;45,88
Érico Cardoso;10859;81,43;2656;267;53,48;0,26;86,17;58,15;19,83;58,25;58,4;Médio Baixo;53,4;72,3;47,1;49,16
Fátima;17652;60,82;5260;224;47,81;37,78;85,04;65,84;16,39;54,67;55,9;Baixo;58,9;74;46,9;52,94
Filadélfia;16740;46,11;4788;217;67,19;8,5;82,7;58,6;24,44;46,57;56,5;Baixo;59,7;70,6;48,7;57,54
Floresta Azul;10660;31,12;3030;245;57,05;67,43;83,81;59,05;24,91;37,71;55,7;Baixo;55,4;70,7;45,3;46,67
Gentio do Ouro;10622;49,63;2976;194;62,93;0,17;83,15;54,1;20,35;37,51;55,9;Baixo;53,2;73,4;45,4;52,5
Glória;15076;81,25;4282;257;58,13;14,55;83,83;58,21;22,48;45,93;59,3;Médio Alto;56;72,3;48,7;52,54
Governador Mangabeira;19818;62,57;5402;273;74,14;5,74;83,28;60,75;39,64;60,37;64,3;Alto;57,5;79,2;48,1;54,45
Guajeru;10412;80,05;2667;234;54,21;0,49;85,88;57,34;13,6;55,77;56,9;Médio Baixo;54,9;77,1;37,1;46,02
Heliópolis;13192;58,85;3829;226;53,27;6,45;84,16;61,98;17,17;57,25;56,3;Baixo;57,9;69,5;47,7;50,81
Ibiassucê;10062;53,23;2798;308;66,85;2,22;86,72;68,58;24,25;61,28;61,1;Médio Alto;55,4;68,6;45,9;46,87
Ibicoara;17282;36,58;4739;269;77,28;16,61;79,64;62,77;23,23;56,11;59,1;Médio Alto;58,9;75,2;47,3;49,07
Ibicuí;15785;24,21;4780;302;61,91;56,05;83,64;66,15;24,86;48,88;58,4;Médio Baixo;56,9;75,7;45,1;51,03
Ibipeba;17008;40,92;4918;238;73,05;4,53;83,14;66,06;29,36;49,13;61,6;Alto;56,5;79,8;48,2;57
Ibipitanga;14171;63,62;3787;236;57,9;1;84,89;57,71;18,54;42,57;58,4;Médio Baixo;58,4;74,2;44,9;57,61
Ibirataia;18943;16,9;5590;277;57,15;66,37;83,61;63,08;26,04;46,07;57,6;Médio Baixo;55;76,4;49,3;49,89
Ibitiara;15508;77,84;4212;231;64,86;11,61;85,53;56,99;19,28;39,4;58,5;Médio Baixo;59,6;71,2;45,8;55,4
Ibititá;17840;53,26;5207;227;66,61;1,23;83,03;68,06;26,83;51,1;60,2;Médio Alto;58,2;77;48;50,81
Igaporã;15205;48,28;3967;265;68,83;19,41;85,21;64,83;29,28;51,98;61,4;Médio Alto;58,6;78;43,5;49,66
Igrapiúna;13343;67,96;3554;232;67,28;15,45;79,72;63,64;20,76;57,84;57,4;Médio Baixo;58,9;75;43,6;54,81
Ipecaetá;15331;82,8;3836;190;61,05;0,99;84,55;50,2;18,75;51,92;55;Baixo;58,1;70,7;46,2;53,12
Iramaia;11990;54,93;3239;214;64,99;1,17;82,85;60,61;22,09;46,74;57,1;Médio Baixo;50,8;75,1;41,5;50,48
Itaeté;14924;58,4;4071;216;63,36;7,61;81,8;56,22;21,75;43,81;57,2;Médio Baixo;59,6;69,9;46,4;54,9
Itagi;13051;21,77;3691;228;55,51;50,88;83,27;62,99;21,59;43,53;54,3;Baixo;54,7;70,1;45,9;47,83
Itagibá;15193;37;4226;268;60,53;60,62;83,52;58,58;25,31;47,01;58,9;Médio Baixo;52,5;76,3;49;49,55
Itaguaçu da Bahia;13209;80,33;3529;184;60,33;0,77;80,56;63,75;18,01;61,38;56,2;Baixo;58,5;70,5;46,5;53,69
Itapé;10995;34,7;3332;290;65,6;54,56;83,28;62,46;30,51;47,38;59,9;Médio Alto;55,9;78,6;38,2;47,92
Itapebi;10495;21,22;2996;289;59,18;3,27;80,34;59,04;24,05;45,54;57,2;Médio Baixo;55,6;75,7;42,9;49,64
Itapitanga;10207;25,63;2752;231;62,18;74,24;83,25;57,22;23,34;42,88;57,1;Médio Baixo;55,3;72,6;45;44,43
Itarantim;18539;17,46;5331;294;65,61;69,8;84,24;66,59;26,7;52,1;61;Médio Alto;57,6;77,1;48,3;51,81
Itatim;14522;30,37;4172;245;66,29;2,04;82,22;62,45;25,07;52,02;58,2;Médio Baixo;56,1;76,3;45,4;47,09
Itiruçu;12693;24,95;3798;273;63,33;43,55;84,04;67,55;26,98;51,65;60;Médio Alto;56,8;71,8;45,8;50,39
Itororó;19914;9,11;5947;323;63,68;67,34;83,7;65,74;26,83;51,36;59,4;Médio Alto;55;75,5;51;46,39
Ituaçu;18127;63,76;4973;273;61,48;7,16;84,24;62,07;18,67;54,03;57;Médio Baixo;58,3;73,1;48,4;52,74
Iuiú;10900;51,52;2760;223;62,94;12,21;82,15;63,09;23,64;54,96;59,1;Médio Alto;56,5;77;42,5;47,16
Jacaraci;13651;63,94;3681;269;59,23;5,32;86,84;64,65;18,86;57,34;59,3;Médio Alto;55,4;78,6;45,2;47,62
