Municipio;População residente;Perc População Rural; Unidade Domestica ; Rendimento mensal total domiciliar per capita nominal ;Perc Alfabetizacao;Perc Saneamento Adequado;Perc Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência;Perc Pessoas mais de 10 anos com rendimento;Perc Pessoas acima 25 anos com pelo menos fundamento completo;Perc Economicamente Ativa com Rendimento;IDHM 2010;IDHM Faixas;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010;Gini
Jaguaripe;16467;67,83;4584;201;59,86;4,01;82,06;66,04;19,48;62,32;55,6;Baixo;56,5;76,6;47,1;55,92
Jandaíra;10331;40,5;2693;187;63,45;2,56;79,39;56,05;21,62;46,87;55;Baixo;54,4;76,8;42,2;54,72
Jiquiriçá;14118;60,47;3985;234;66,69;26,78;83,39;64,78;19,21;59,9;55,3;Baixo;52,5;76,3;47,7;50,46
Jitaúna;14115;34,4;4093;242;56,19;43,59;83,43;61,77;26,1;46,01;57,5;Médio Baixo;56,6;75,4;42,6;51,29
Jucuruçu;10290;77,73;3004;227;53,92;30,13;83,02;49,89;19,66;36,3;54,1;Baixo;46,9;70,5;41,3;56,1
Jussara;15052;33,22;4182;210;63,51;0,84;80,68;66,19;24,18;49,81;57,1;Médio Baixo;56,8;77,7;43,6;52,37
Lagoa Real;13934;79,85;3311;197;64,56;1,54;84,76;59,91;15,21;54,53;54,5;Baixo;54,3;75,4;46,4;48,53
Lençóis;10368;22,48;3000;325;73,86;53,6;81;62,74;38,59;57,61;62,3;Alto;57,1;70,4;47;61,5
Licínio de Almeida;12311;49,21;3483;267;64,91;1,41;84,87;69,41;25,58;55,29;62,1;Alto;58,8;69,7;46,1;45,44
Macajuba;11229;38,81;3324;191;61,44;42,6;80,44;53,67;16,42;44,65;52,4;Baixo;52,3;74,3;45;56,39
Macarani;17093;20,21;4960;325;59,38;73,25;83,99;67,87;26,58;52,04;60,5;Médio Alto;56,6;74,7;50,8;47,13
Madre de Deus;17376;3;5172;453;92;91,55;85,13;55,76;63,67;53,95;70,8;Alto;54,7;74,8;53,9;56,31
Mairi;19326;42,49;5809;261;64,44;46,19;84,09;65,23;21,3;54,88;57,2;Médio Baixo;57,3;73,9;49,1;50,96
Malhada;16014;59,04;3853;198;66,87;8,05;79,95;57,35;20,58;48,48;56,2;Baixo;60,6;79,1;42,9;49,13
Manoel Vitorino;14387;48,85;3953;219;59,6;1,52;83,33;59,16;19,06;49,48;56,6;Baixo;56,7;71,7;47,2;51,44
Mansidão;12592;62,02;2829;255;75,29;0,14;81,65;47,93;34,25;40,28;59,9;Médio Alto;55;78,2;45,9;55,04
Maraú;19101;81,36;5162;297;65,02;7,52;79,84;63,07;25,02;52,56;59,3;Médio Alto;55,8;80,5;47,1;71,3
Marcionílio Souza;10500;49,41;2902;200;56,99;5,1;81,85;52,94;21,39;43,46;56,1;Baixo;54,7;74,8;43,7;51,13
Mascote;14640;20,23;4102;239;57,69;40,81;80,56;53,29;24,02;41,17;58,1;Médio Baixo;58,1;70;47,4;60,26
Matina;11145;68,84;2739;202;54,01;1,31;82,57;64,38;19,19;44,91;57,2;Médio Baixo;53,8;74,1;45,6;45,28
Milagres;10306;24,42;3118;268;67,3;3,69;83,42;65,85;27,88;51,27;62,2;Alto;56,5;78,9;42,4;52,5
Mirangaba;16279;51,6;4655;186;63,94;16,82;82,41;58,09;20,23;48,79;54,2;Baixo;55,5;73,4;49,6;51,83
Mirante;10507;82,78;2786;202;55,25;19,24;84,18;60,66;12,56;47,87;52,7;Baixo;51,7;77,1;33,5;52,17
Mortugaba;12477;52,82;3446;314;58,95;1,63;86,24;68,28;23,53;60,59;61,8;Alto;52,6;75,8;47,3;47,89
Mucugê;10545;60,36;3056;408;71;30,96;82,24;62,5;30,16;55,54;60,6;Médio Alto;54;76,4;41,5;53,15
Mulungu do Morro;12249;51,68;3307;180;72,11;0,27;80,39;63;18,64;56,87;56,6;Baixo;45,5;77,4;50,9;49,52
Muquém de São Francisco;10272;87,51;2635;176;66,78;5,05;78,11;50,6;18,96;48,77;54,9;Baixo;58,4;71;42,4;54,95
Nilo Peçanha;12530;75,22;3556;224;62,51;26,21;82,25;56,48;22,25;50,51;54,7;Baixo;54,7;76,8;45,3;55,3
Nordestina;12371;68,3;3320;180;58,22;1,2;82,41;54,97;19,46;46,99;56;Baixo;58,6;69;47,2;54,16
Nova Canaã;16713;59;4977;243;53,99;42,76;83,16;63,67;16,41;50,55;54,5;Baixo;57,3;73,7;47,9;48,1
