Municipio;População residente;População Rural; Unidade Domestica ; Rendimento mensal total domiciliar per capita nominal ;Analfabetismo;Residencia sem Saneamento;Saneamento Semi-Inadequado;Saneamento Inadequado;Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência;Perc Pessoas mais de 10 anos sem rendimento;Perc Pessoas mais de 10 anos com menos 1 salario;Perc Pessoas acima 25 anos sem Instrucao e fundamental incompleto;Economicamente Ativa;Perc Economicamente Ativa - Sem Rendimento;Não Economicamente Ativa;Perc Não Economicamente Ativa - Com Rendimento;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010;Gini
Caculé;22236;8928;6330;333;6914;2996;3324;573;10804;30,10;50,67;70,96;11387;12,66;7818;44,50;63,70;60,40;77,60;49,60;48,35
Caetité;47515;19068;12789;332;14736;15756;1582;1582;21827;33,83;49,08;70,93;23477;15,33;16874;40,43;62,50;65,70;78,00;54,60;59,93
Camacan;31472;6789;9067;299;10050;2664;1178;448;9729;41,55;44,07;71,92;11516;13,48;13928;35,23;58,10;57,60;76,30;53,60;62,44
Camamu;35180;19564;9421;229;12440;10495;1846;1312;13956;38,40;47,77;72,44;15321;16,08;12511;34,27;56,50;56,30;73,80;56,50;54,84
Campo Alegre de Lourdes;28090;19964;7613;177;10994;18855;1454;3148;9398;46,87;42,58;81,20;10100;32,38;12733;41,64;55,70;56,40;76,60;51,30;60,78
Canarana;24067;12611;6951;222;6452;3854;3707;838;11573;30,21;54,60;74,84;12439;15,39;7133;43,95;58,70;58,30;77,00;50,50;48,88
Canavieiras;32336;6432;9720;313;9216;4276;1631;688;11881;36,08;48,08;70,41;13509;12,52;13272;39,94;59,00;62,00;75,20;51,40;51,97
Cândido Sales;27918;8632;7881;247;10624;7394;3012;1255;10781;34,71;51,32;75,89;12079;15,22;11094;44,06;60,10;59,10;77,40;50,40;51,08
Cansanção;32908;21887;8973;189;13346;10705;2190;1518;13857;41,76;48,91;79,63;14459;28,00;12322;42,09;55,70;57,50;72,90;56,10;57,33
Capim Grosso;26577;4816;8354;303;8078;1599;3816;286;12206;30,14;51,72;70,85;13597;14,92;8389;45,19;62,10;61,90;77,80;50,20;54,93
Caravelas;21414;10105;6116;341;7570;3479;2850;779;7807;38,80;40,99;70,34;9043;15,08;8305;35,37;61,60;56,90;76,40;49,80;58,73
Carinhanha;28380;15796;7294;198;10062;8635;2935;1422;10863;41,56;48,11;71,20;11880;22,09;11068;37,55;57,60;57,20;77,90;50,30;51,72
Castro Alves;25408;9721;7196;265;8582;7573;726;1411;10191;39,28;46,22;69,15;11162;19,52;10295;39,29;61,30;58,60;76,60;51,60;54,94
Cícero Dantas;32300;14574;10161;280;16166;5231;2023;738;13732;33,85;51,15;77,36;14550;17,27;12913;47,47;58,50;58,70;80,90;50,10;53,91
Coaraci;20964;1834;6481;300;7398;1314;700;322;6463;39,54;45,47;67,33;7402;11,85;10160;40,29;61,30;55,20;77,90;50,30;56,38
Conceição da Feira;20391;7253;5661;282;4838;2569;3702;649;7581;42,32;40,65;57,84;9181;24,80;7843;37,16;63,40;57,70;74,60;51,00;57,38
Conceição do Jacuípe;30123;6585;8892;361;5628;2906;3911;476;12930;34,33;42,55;55,54;15140;14,58;10203;36,35;66,30;59,50;75,40;54,50;48,47
Conde;23620;11491;6098;209;7612;5038;3163;1084;7454;44,73;44,15;74,06;8271;18,78;10496;34,82;56,00;58,90;78,70;48,00;63,63
Coração de Maria;22401;13002;6225;267;6952;10967;1963;2476;9536;42,37;44,98;70,36;10495;26,66;8337;37,85;59,20;58,70;75,20;51,70;52,93
Correntina;31249;18646;8763;314;10662;10106;2257;1704;10505;45,06;38,31;71,92;11275;20,09;14716;35,81;60,30;59,00;78,90;51,80;58,85
Crisópolis;20046;11434;6010;202;8746;4446;3324;1054;9592;35,51;55,61;87,07;9911;21,26;6582;43,03;54,30;55,40;78,70;46,50;58,31
Curaçá;32168;18448;8676;214;11170;9903;1502;1549;11725;41,17;47,20;76,07;12855;23,66;13178;41,76;58,10;59,80;77,10;51,30;52,79
Encruzilhada;23766;18635;6611;212;10958;7286;2230;1596;8719;42,07;46,82;79,54;9466;14,68;9842;31,58;54,40;55,80;77,90;46,50;51,22
Entre Rios;39872;16033;11087;280;10158;6654;3351;814;12845;46,58;36,87;63,66;15154;19,46;17410;29,81;61,50;64,50;77,10;50,80;62,49
Esplanada;32802;11979;8645;260;9718;4210;3532;641;12252;40,39;45,24;71,46;13873;19,24;12577;36,28;58,90;58,00;77,10;56,20;59,00
Formosa do Rio Preto;22528;8881;5582;297;6950;6705;2816;1663;7074;46,18;38,24;68,30;8150;22,61;9982;34,57;61,80;57,20;73,00;55,30;61,36
Gandu;30336;5488;9215;356;10078;5337;1572;829;13227;30,40;49,58;65,27;14592;10,52;10409;41,73;63,20;56,40;77,80;55,60;59,89
Guaratinga;22165;11741;6718;244;10978;6769;1203;1575;8185;38,40;49,72;80,69;9512;21,35;8780;43,13;55,80;54,30;76,30;49,20;53,85
Iaçu;25736;5569;7343;239;9148;4830;2464;866;8369;41,30;47,13;77,01;9551;16,64;11707;38,58;57,40;57,70;74,70;51,90;62,82
Ibicaraí;24272;6386;7549;317;7744;975;1547;226;7827;34,93;48,07;65,85;9124;13,73;11169;47,75;62,50;59,90;70,40;51,50;54,83
Ibirapitanga;22598;16436;6332;250;9662;6445;1233;1405;8339;37,57;49,31;79,78;9023;11,97;8913;36,51;55,80;55,40;74,70;53,50;52,96
Ibotirama;25424;5924;7152;338;6620;3166;2710;687;10278;38,05;44,25;63,62;11293;17,85;9759;38,57;63,60;60,20;78,50;49,20;55,81
Iguaí;25705;11125;7428;249;11342;6358;928;1317;9351;39,57;50,18;81,60;10623;22,02;10715;43,03;55,20;60,70;78,20;46,60;56,41
Inhambupe;36306;20673;10148;236;13074;6652;2380;882;15304;39,66;48,60;76,13;16903;22,95;12637;37,98;56,50;64,10;76,70;50,20;53,70
Ipiaú;44390;4004;13076;388;13244;2297;1369;285;16126;35,32;45,06;61,65;18966;14,01;18436;42,76;67,00;60,10;75,70;57,50;69,96
Iraquara;22601;15843;6105;203;5604;3669;3514;903;8175;44,15;44,39;73,65;8970;25,11;9419;37,72;59,90;60,40;77,20;49,50;61,75
Irará;27466;16219;7803;268;9408;12635;2400;2095;14281;32,02;51,66;67,87;15094;18,24;7950;41,80;62,00;59,20;75,80;51,60;49,93
Itabela;28390;7007;7890;309;10054;2088;4053;412;10675;38,94;42,37;71,80;12278;13,99;10526;31,96;59,90;61,60;78,40;49,70;56,81
Itacaré;24318;10676;6758;294;7648;8090;1376;1662;10167;38,00;40,13;72,56;11055;14,53;8327;30,83;58,30;55,70;79,10;51,30;55,45
Itajuípe;21081;4241;6400;341;6854;2134;1549;473;7615;34,75;46,02;67,80;8635;10,16;9097;41,90;59,90;58,00;74,10;49,80;50,08
Itambé;23089;3392;6092;288;8282;2326;483;565;9180;33,53;49,13;75,33;10002;8,99;9108;39,52;57,80;58,50;77,60;49,60;41,35
Itanhém;20216;6010;6238;367;7584;4242;690;1061;8177;33,18;49,57;70,80;8921;11,82;8385;44,10;63,70;56,40;78,20;49,70;54,24
Itaparica;20725;0;6341;334;2320;949;2469;254;7560;39,96;38,14;50,21;9146;17,57;8371;35,58;67,00;56,60;77,70;49,80;60,35
Itapicuru;32261;25586;9000;192;17076;8110;2968;1237;12888;41,02;51,75;88,08;14388;24,64;11687;38,82;48,60;56,50;78,70;52,50;54,99
Itiúba;36113;26413;9991;205;13482;16453;1602;2164;13725;41,12;49,36;80,14;14416;20,58;15004;39,15;54,40;61,10;80,80;49,80;56,98
Ituberá;26591;7339;7388;291;7668;5519;2150;917;11852;31,51;49,21;68,86;12803;10,37;8820;37,80;60,60;54,60;76,60;55,30;51,14
Jaguarari;30343;13730;9092;320;8216;3860;1425;667;10675;42,90;38,79;64,93;11853;20,20;13680;37,43;65,90;60,90;76,40;52,40;67,48
Jeremoabo;37680;20242;10734;241;17174;12161;1676;1469;17145;34,09;51,25;80,48;17851;20,01;13003;46,57;54,70;60,00;80,70;51,00;53,60
João Dourado;22549;8979;6233;227;6518;1880;3976;434;8937;34,84;50,90;73,49;9541;9,96;8595;37,54;59,30;58,70;79,30;49,10;53,84
Laje;22201;16120;6355;232;8880;9146;1822;1904;10622;34,65;54,24;74,51;11044;15,52;7369;36,67;58,60;57,40;78,60;50,30;51,41
Lapão;25646;15595;7277;222;7692;1988;3830;393;9978;34,71;52,86;71,05;10947;13,15;9989;41,65;59,60;56,40;78,90;51,40;52,64
Livramento de Nossa Senhora;42693;22162;11394;307;13752;12090;2029;1344;15946;39,08;47,64;75,41;17164;14,76;19148;39,12;61,10;62,10;76,90;54,10;53,78
Macaúbas;47051;31642;12102;262;18442;4766;3059;463;18043;41,97;45,12;77,50;19587;27,04;19975;43,39;60,90;63,60;77,20;55,80;56,04
Maracás;24613;6906;7495;241;9024;5187;3292;1021;10366;31,68;55,59;73,67;11303;12,68;9434;45,56;60,70;61,40;75,10;46,50;51,78
Maragogipe;42815;17721;12003;246;14622;14751;1330;1537;17839;37,61;47,70;67,40;19884;20,32;16241;41,21;62,10;62,40;79,00;52,50;57,41
Mata de São João;40183;10359;11693;380;6848;2708;2568;379;15128;41,76;33,24;53,21;17636;15,94;15750;29,33;66,80;60,10;78,40;55,50;58,66
Medeiros Neto;21560;4495;6852;349;7766;2530;2590;588;8126;34,24;47,34;72,47;9119;10,59;9048;41,91;62,50;57,60;74,40;50,80;54,34
Miguel Calmon;26475;10410;8120;255;7974;3502;2278;647;11088;33,36;53,26;74,84;12220;16,33;9919;45,66;58,60;60,80;76,60;48,70;54,80
Morro do Chapéu;35164;14895;9928;245;10814;8473;3093;1145;13919;37,28;50,16;74,06;15244;18,47;13343;41,24;58,80;63,80;76,90;48,50;51,65
Mucuri;36026;8535;10541;442;9264;4192;3223;601;14755;39,83;31,61;57,25;16328;14,17;13038;28,03;66,50;60,60;76,60;54,80;59,69
Mundo Novo;24395;10831;6720;245;7962;5172;2145;964;9297;39,72;47,81;78,36;10212;20,08;9942;40,11;59,00;57,30;78,60;50,40;65,85
Muritiba;28899;10860;8318;340;7358;6644;3007;1011;10808;37,52;43,24;59,48;12960;19,91;11645;42,88;66,00;62,60;77,70;50,10;56,18
Mutuípe;21449;11791;6491;280;7586;9039;809;1867;9624;32,96;53,52;76,66;10284;12,89;7857;40,77;60,10;59,50;76,60;46,90;64,23
Nazaré;27274;4410;7981;324;7578;4246;1662;654;10902;35,94;45,66;59,00;12422;15,79;10741;40,76;64,10;56,90;77,70;52,70;61,05
Nova Soure;24136;12406;6904;211;10658;5121;3602;964;8999;43,55;44,96;77,91;9683;28,52;10173;42,14;55,50;58,00;76,70;49,80;57,86
Nova Viçosa;38556;5032;11188;378;10268;4631;3436;585;15577;36,33;39,64;65,17;17572;12,78;13539;33,11;65,40;61,50;77,50;53,30;62,30
Olindina;24943;12170;7133;213;10334;3476;1854;694;8179;49,37;39,79;77,47;8782;26,24;11700;33,27;55,90;57,80;80,50;47,90;59,67
Oliveira dos Brejinhos;21831;15247;6120;210;6990;3083;3700;709;5986;47,71;43,39;79,40;7061;29,50;11228;40,83;55,40;53,40;77,50;49,00;57,26
Palmas de Monte Alto;20775;10942;5500;229;8894;6668;2722;1624;8591;35,24;51,22;79,14;9248;15,27;8316;42,56;58,60;59,80;73,90;47,40;49,36
Paramirim;21001;10973;5626;334;6606;2620;2697;641;8843;37,55;44,34;71,78;9835;18,64;8315;40,10;61,50;58,80;76,20;48,20;51,34
Paratinga;29504;18599;7211;187;10152;9194;2987;1567;10005;48,72;42,20;74,85;11009;32,41;13108;37,58;59,00;58,20;77,50;53,10;55,47
Paripiranga;27778;18245;8046;254;11550;13509;1630;2302;10115;41,55;45,85;78,83;10544;21,12;12861;41,70;57,70;61,10;77,10;47,60;59,11
Pilão Arcado;32860;21832;8204;172;13460;17885;1821;2754;10504;47,07;43,69;84,95;11434;31,76;14700;41,03;50,60;60,70;75,80;50,70;60,16
Pindobaçu;20121;8883;6062;228;7126;1961;2827;527;7439;41,07;47,73;72,58;8256;19,11;8128;36,62;57,70;56,10;74,60;49,60;51,45
Piritiba;22399;7237;6671;239;6990;2923;2406;610;8323;36,81;49,30;75,12;9128;15,44;9350;42,33;57,80;53,90;77,50;53,70;52,64
Planalto;24481;9611;6891;252;10514;7326;3163;1403;9594;35,53;52,51;80,63;10714;15,45;9538;41,92;56,00;55,10;73,90;55,00;46,34
Poções;44701;10040;12887;267;17384;6981;1017;700;16167;36,90;48,79;75,00;18854;18,99;17864;44,20;60,40;57,90;77,30;57,40;55,27
Pojuca;33066;4689;9605;404;4634;1621;621;253;12096;42,90;29,77;50,80;15214;17,57;12588;26,48;66,60;60,20;82,10;51,60;52,50
Prado;27627;12153;7559;321;7568;7034;2804;1253;11608;33,58;44,94;67,33;12918;14,28;9321;39,67;62,10;60,20;73,50;52,20;56,07
Presidente Tancredo Neves;23846;14277;6509;228;9774;10691;1373;2071;11140;34,02;51,47;78,33;11600;14,88;7736;37,28;55,90;60,10;76,90;48,20;55,17
Queimadas;24602;12109;7008;233;8380;7751;1622;1458;9666;36,73;51,99;74,19;10941;21,22;9401;45,21;59,20;60,80;78,90;47,60;52,01
Quijingue;27228;20851;7232;194;13396;10274;2374;1799;10538;41,92;47,95;83,93;10961;27,92;11562;44,80;54,40;58,30;79,80;47,40;58,33
Rafael Jambeiro;22874;16023;6265;213;9750;10045;2047;2048;9218;40,51;49,62;81,88;9963;27,52;8908;44,96;56,40;51,90;77,40;51,00;50,31
Remanso;38957;15485;10585;253;15396;11387;871;1521;15788;38,01;47,00;75,41;17053;18,86;14854;40,00;57,90;58,80;75,50;55,90;54,65
Riachão das Neves;21937;11192;5911;218;9526;5625;2880;1560;6124;48,55;40,38;78,15;7113;25,14;11062;36,40;57,80;53,30;73,40;53,00;54,34
Riachão do Jacuípe;33172;13312;10155;287;9108;4683;1320;667;13792;32,43;53,66;67,11;15338;15,47;13035;47,62;62,80;61,60;80,70;49,20;48,07
Riacho de Santana;30646;17554;7987;233;12602;9847;2898;1464;12106;37,71;49,47;74,86;13268;18,80;12430;42,10;61,50;61,30;77,50;51,00;56,25
Ribeira do Pombal;47518;17762;13834;311;18254;4483;3100;420;19030;35,84;47,79;71,55;20734;15,87;18800;42,14;60,10;61,50;76,20;57,70;54,38
Rio Real;37164;13855;10648;243;12878;8879;3139;1156;16321;34,50;52,13;76,00;17071;14,40;13405;39,91;57,20;63,60;75,20;51,60;53,79
Ruy Barbosa;29887;7795;8758;270;9818;4877;1472;835;10939;38,48;48,45;71,68;12684;19,41;12017;41,39;61,00;59,00;77,70;52,70;56,34
Santa Cruz Cabrália;26264;7262;7784;336;5694;2700;2200;520;10524;36,39;40,92;58,52;12215;14,32;8637;32,41;65,40;62,60;79,10;47,30;58,75
Santa Maria da Vitória;40309;16494;11126;299;14124;7658;3305;835;16031;37,01;47,87;70,14;17251;18,32;16344;43,26;61,40;59,80;79,50;53,10;54,75
Santa Rita de Cássia;26250;11343;7193;227;7898;7254;2582;1413;10217;41,88;46,53;73,03;10909;26,11;10723;42,07;60,50;61,50;76,20;49,10;60,61
Santaluz;33838;13045;9440;231;11540;8320;1114;1109;13946;33,97;55,08;72,38;15541;15,68;12468;43,24;59,80;60,50;74,80;55,50;49,99
Santana;24750;11266;6956;273;9398;1645;3961;305;9866;35,77;51,11;74,34;11101;18,96;9570;44,73;60,80;64,10;77,40;46,70;55,18
Santo Estêvão;47880;20191;13126;287;14982;7078;3603;701;21285;37,86;46,21;69,46;23823;22,39;16019;39,13;62,60;62,40;78,40;57,10;57,55
São Desidério;27659;19027;7033;309;9828;7715;2688;1642;10432;46,15;33,95;75,20;11031;21,95;11266;30,16;57,90;57,50;75,80;54,00;57,53
