IDHM Longevidade 2010,IDHM Renda 2010,Saneamento Inadequado,População Rural,Gini,IDHM Educação 2010,IDHM 2010,Municipio,Selected
continuous,continuous,continuous,continuous,continuous,continuous,continuous,string,discrete
,,,,,,class,meta,meta
74.7,54.9,1513.0,8822.0,49.5,47.1,57.6,Rio do Antônio,No
74.0,54.3,1299.0,6651.0,48.81,46.3,59.4,Rio do Pires,No
79.6,57.7,77.0,7496.0,54.68,43.3,61.7,Salinas da Margarida,No
80.1,64.3,1353.0,10396.0,53.47,40.4,58.3,Santa Bárbara,No
70.4,56.3,1666.0,9449.0,55.46,47.9,54.6,Santa Brígida,No
75.3,51.7,231.0,849.0,49.21,46.6,57.4,Santa Inês,No
73.7,51.8,1604.0,5272.0,46.39,46.3,55.6,Santa Luzia,No
74.4,55.0,1169.0,4833.0,49.21,49.0,63.9,São Félix,No
77.8,53.5,306.0,2461.0,50.58,48.0,63.9,São Félix do Coribe,No
77.5,53.0,643.0,7933.0,51.81,51.2,59.2,São Gabriel,No
68.5,55.2,895.0,3189.0,46.64,46.7,55.2,São José do Jacuípe,No
77.0,54.3,2360.0,7054.0,52.13,44.6,59.3,São Miguel das Matas,No
80.7,54.5,1796.0,8501.0,59.05,49.1,61.4,Sapeaçu,No
76.4,54.8,603.0,14633.0,54.48,48.0,52.7,Sátiro Dias,No
72.9,56.8,127.0,253.0,50.05,45.2,61.7,Saubara,No
75.1,50.6,839.0,5199.0,55.25,46.4,54.9,Saúde,No
70.8,57.3,1478.0,6287.0,46.35,46.2,61.5,Sebastião Laranjeiras,No
76.1,57.4,1601.0,12110.0,51.43,49.1,60.8,Serra Dourada,No
75.7,52.7,1931.0,8481.0,48.87,48.2,56.6,Serra Preta,No
77.8,54.4,447.0,5065.0,50.98,46.3,59.0,Serrolândia,No
76.8,53.8,1400.0,5184.0,59.56,43.5,56.4,Sítio do Mato,No
72.7,56.6,1138.0,7420.0,55.68,42.4,53.3,Sítio do Quinto,No
72.8,54.0,466.0,9861.0,54.38,53.8,59.2,Souto Soares,No
75.9,55.5,471.0,7499.0,54.1,43.4,58.4,Tabocas do Brejo Velho,No
77.1,57.7,1603.0,8811.0,59.97,48.0,59.9,Tanque Novo,No
74.3,57.8,1606.0,10023.0,53.5,48.1,56.6,Taperoá,No
77.5,56.0,504.0,3733.0,61.91,49.0,59.4,Tapiramutá,No
77.6,54.4,2241.0,9768.0,48.59,45.3,55.5,Teolândia,No
74.9,56.5,318.0,1315.0,45.76,43.0,57.8,Terra Nova,No
74.5,57.1,2856.0,13090.0,48.65,47.2,52.8,Tremedal,No
70.9,57.3,1776.0,10928.0,58.31,51.3,58.2,Ubaíra,No
76.4,54.5,134.0,5314.0,53.71,47.9,61.7,Uibaí,No
74.9,56.6,1646.0,9489.0,50.74,47.5,51.5,Umburanas,No
76.8,56.7,932.0,10527.0,51.26,48.8,59.8,Urandi,No
75.1,61.8,811.0,4059.0,49.49,46.7,61.6,Uruçuca,No
76.7,56.8,580.0,5363.0,62.53,48.1,59.0,Utinga,No
71.7,56.6,919.0,7305.0,49.97,46.9,53.9,Várzea da Roça,No
75.2,57.9,1031.0,4521.0,49.93,40.6,55.5,Várzea Nova,No
74.4,57.5,1505.0,6607.0,59.93,43.8,60.0,Wanderley,No
75.9,60.9,1517.0,10187.0,53.45,46.6,60.8,Alcobaça,No
77.8,65.2,730.0,9460.0,56.79,49.7,62.5,Amargosa,No
74.4,57.7,508.0,5232.0,49.98,54.5,66.6,Amélia Rodrigues,No
75.3,58.1,2932.0,20591.0,48.41,46.1,54.0,Anagé,No
78.8,58.6,1499.0,11721.0,54.44,45.2,58.5,Baixa Grande,No
78.2,60.8,1494.0,26877.0,59.97,56.0,55.7,Barra,No
76.2,55.8,900.0,10782.0,54.56,48.9,57.5,Barra da Estiva,No
76.1,58.1,629.0,12381.0,44.52,53.1,55.1,Barra do Choça,No
76.5,57.2,669.0,10378.0,49.79,52.5,59.8,Belmonte,No
76.5,55.9,1384.0,14672.0,53.57,50.3,60.3,Boquira,No
80.1,63.1,812.0,15638.0,57.29,48.4,64.7,Cachoeira,No
77.6,60.4,573.0,8928.0,48.35,49.6,63.7,Caculé,No
78.0,65.7,1582.0,19068.0,59.93,54.6,62.5,Caetité,No
76.3,57.6,448.0,6789.0,62.44,53.6,58.1,Camacan,No
73.8,56.3,1312.0,19564.0,54.84,56.5,56.5,Camamu,No
76.6,56.4,3148.0,19964.0,60.78,51.3,55.7,Campo Alegre de Lourdes,No
77.0,58.3,838.0,12611.0,48.88,50.5,58.7,Canarana,No
75.2,62.0,688.0,6432.0,51.97,51.4,59.0,Canavieiras,No
77.4,59.1,1255.0,8632.0,51.08,50.4,60.1,Cândido Sales,No
72.9,57.5,1518.0,21887.0,57.33,56.1,55.7,Cansanção,No
77.8,61.9,286.0,4816.0,54.93,50.2,62.1,Capim Grosso,No
76.4,56.9,779.0,10105.0,58.73,49.8,61.6,Caravelas,No
77.9,57.2,1422.0,15796.0,51.72,50.3,57.6,Carinhanha,No
76.6,58.6,1411.0,9721.0,54.94,51.6,61.3,Castro Alves,No
80.9,58.7,738.0,14574.0,53.91,50.1,58.5,Cícero Dantas,No
77.9,55.2,322.0,1834.0,56.38,50.3,61.3,Coaraci,No
74.6,57.7,649.0,7253.0,57.38,51.0,63.4,Conceição da Feira,No
75.4,59.5,476.0,6585.0,48.47,54.5,66.3,Conceição do Jacuípe,No
78.7,58.9,1084.0,11491.0,63.63,48.0,56.0,Conde,No
75.2,58.7,2476.0,13002.0,52.93,51.7,59.2,Coração de Maria,No
78.9,59.0,1704.0,18646.0,58.85,51.8,60.3,Correntina,No
78.7,55.4,1054.0,11434.0,58.31,46.5,54.3,Crisópolis,No
77.1,59.8,1549.0,18448.0,52.79,51.3,58.1,Curaçá,No
77.9,55.8,1596.0,18635.0,51.22,46.5,54.4,Encruzilhada,No
77.1,64.5,814.0,16033.0,62.49,50.8,61.5,Entre Rios,No
77.1,58.0,641.0,11979.0,59.0,56.2,58.9,Esplanada,No
73.0,57.2,1663.0,8881.0,61.36,55.3,61.8,Formosa do Rio Preto,No
77.8,56.4,829.0,5488.0,59.89,55.6,63.2,Gandu,No
76.3,54.3,1575.0,11741.0,53.85,49.2,55.8,Guaratinga,No
74.7,57.7,866.0,5569.0,62.82,51.9,57.4,Iaçu,No
70.4,59.9,226.0,6386.0,54.83,51.5,62.5,Ibicaraí,No
74.7,55.4,1405.0,16436.0,52.96,53.5,55.8,Ibirapitanga,No
78.5,60.2,687.0,5924.0,55.81,49.2,63.6,Ibotirama,No
78.2,60.7,1317.0,11125.0,56.41,46.6,55.2,Iguaí,No
76.7,64.1,882.0,20673.0,53.7,50.2,56.5,Inhambupe,No
75.7,60.1,285.0,4004.0,69.96,57.5,67.0,Ipiaú,No
77.2,60.4,903.0,15843.0,61.75,49.5,59.9,Iraquara,No
75.8,59.2,2095.0,16219.0,49.93,51.6,62.0,Irará,No
78.4,61.6,412.0,7007.0,56.81,49.7,59.9,Itabela,No
79.1,55.7,1662.0,10676.0,55.45,51.3,58.3,Itacaré,No
74.1,58.0,473.0,4241.0,50.08,49.8,59.9,Itajuípe,No
77.6,58.5,565.0,3392.0,41.35,49.6,57.8,Itambé,No
78.2,56.4,1061.0,6010.0,54.24,49.7,63.7,Itanhém,No
77.7,56.6,254.0,0.0,60.35,49.8,67.0,Itaparica,No
78.7,56.5,1237.0,25586.0,54.99,52.5,48.6,Itapicuru,No
80.8,61.1,2164.0,26413.0,56.98,49.8,54.4,Itiúba,No
76.6,54.6,917.0,7339.0,51.14,55.3,60.6,Ituberá,No
76.4,60.9,667.0,13730.0,67.48,52.4,65.9,Jaguarari,No
