IDHM Educação 2010,Gini,Perc Saneamento Adequado,"Perc Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência",Perc Pessoas mais de 10 anos com rendimento,População residente,IDHM 2010,Municipio,Neural Network,Selected
continuous,continuous,continuous,continuous,continuous,continuous,continuous,string,continuous,discrete
,,,,,,class,meta,meta,meta
48.1,54.45,5.74,83.28,60.75,19818.0,64.3,Governador Mangabeira,58.758667285136056,No
37.1,46.02,0.49,85.88,57.34,10412.0,56.9,Guajeru,54.74120023485583,No
47.7,50.81,6.45,84.16,61.98,13192.0,56.3,Heliópolis,58.424768099022074,No
45.9,46.87,2.22,86.72,68.58,10062.0,61.1,Ibiassucê,59.29444390476297,No
47.3,49.07,16.61,79.64,62.77,17282.0,59.1,Ibicoara,55.82667291410487,No
45.1,51.03,56.05,83.64,66.15,15785.0,58.4,Ibicuí,60.27519249038572,No
48.2,57.0,4.53,83.14,66.06,17008.0,61.6,Ibipeba,60.138759863756476,No
44.9,57.61,1.0,84.89,57.71,14171.0,58.4,Ibipitanga,59.094552980805304,No
49.3,49.89,66.37,83.61,63.08,18943.0,57.6,Ibirataia,60.88204756944137,No
45.8,55.4,11.61,85.53,56.99,15508.0,58.5,Ibitiara,59.41816255212361,No
48.0,50.81,1.23,83.03,68.06,17840.0,60.2,Ibititá,58.58472519671886,No
43.5,49.66,19.41,85.21,64.83,15205.0,61.4,Igaporã,58.73800540948369,No
43.6,54.81,15.45,79.72,63.64,13343.0,57.4,Igrapiúna,56.60181887161531,No
46.2,53.12,0.99,84.55,50.2,15331.0,55.0,Ipecaetá,56.85760808713482,No
41.5,50.48,1.17,82.85,60.61,11990.0,57.1,Iramaia,55.72211214422654,No
46.4,54.9,7.61,81.8,56.22,14924.0,57.2,Itaeté,56.995538174129535,No
45.9,47.83,50.88,83.27,62.99,13051.0,54.3,Itagi,58.699216303008036,No
49.0,49.55,60.62,83.52,58.58,15193.0,58.9,Itagibá,59.728267217422506,No
46.5,53.69,0.77,80.56,63.75,13209.0,56.2,Itaguaçu da Bahia,56.87412763569817,No
38.2,47.92,54.56,83.28,62.46,10995.0,59.9,Itapé,57.0163739940807,No
42.9,49.64,3.27,80.34,59.04,10495.0,57.2,Itapebi,54.22083596354966,No
45.0,44.43,74.24,83.25,57.22,10207.0,57.1,Itapitanga,57.646243935909226,No
