Índice de Gini da renda domiciliar per capita segundo Município - Bahia;;;
Período: 1991, 2000 e 2010;;;
291750 Jacobina;0,6443;0,6583;0,5537
291760 Jaguaquara;0,5392;0,5985;0,5143
291770 Jaguarari;0,5934;0,6052;0,6748
291780 Jaguaripe;0,5836;0,539;0,5592
291790 Jandaíra;0,4577;0,5415;0,5472
291800 Jequié;0,6361;0,5939;0,5659
291810 Jeremoabo;0,4968;0,6394;0,536
291820 Jiquiriçá;0,4773;0,5042;0,5046
291830 Jitaúna;0,4602;0,5893;0,5129
291835 João Dourado;0,5315;0,5396;0,5384
291840 Juazeiro;0,5794;0,631;0,5723
291845 Jucuruçu;0,472;0,6093;0,561
291850 Jussara;0,6148;0,5767;0,5237
291855 Jussari;0,4879;0,4798;0,5263
291860 Jussiape;0,476;0,4856;0,4587
291870 Lafaiete Coutinho;0,4547;0,5107;0,5143
291875 Lagoa Real;0,5785;0,4939;0,4853
291880 Laje;0,5775;0,5447;0,5141
291890 Lajedão;0,7404;0,6298;0,5853
291900 Lajedinho;0,4182;0,4977;0,5671
291905 Lajedo do Tabocal;0,4878;0,5263;0,4713
291910 Lamarão;0,5049;0,4743;0,5027
291915 Lapão;0,5343;0,6233;0,5264
291920 Lauro de Freitas;0,6937;0,6842;0,6519
291930 Lençóis;0,561;0,6128;0,615
291940 Licínio de Almeida;0,5267;0,685;0,4544
291950 Livramento de Nossa Senhora;0,6227;0,5814;0,5378
291955 Luís Eduardo Magalhães;...;...;0,6337
291960 Macajuba;0,439;0,5951;0,5639
291970 Macarani;0,603;0,5285;0,4713
291980 Macaúbas;0,5844;0,6547;0,5604
291990 Macururé;0,4805;0,5279;0,5467
291992 Madre de Deus;0,4901;0,5605;0,5631
291995 Maetinga;0,4301;0,5044;0,4607
292000 Maiquinique;0,5059;0,5128;0,4703
292010 Mairi;0,5658;0,5268;0,5096
292020 Malhada;0,4726;0,5186;0,4913
292030 Malhada de Pedras;0,4622;0,5548;0,4843
292040 Manoel Vitorino;0,482;0,5098;0,5144
292045 Mansidão;0,4413;0,7043;0,5504
292050 Maracás;0,4428;0,4966;0,5178
292060 Maragogipe;0,5731;0,5347;0,5741
292070 Maraú;0,6206;0,6991;0,713
292080 Marcionílio Souza;0,5144;0,6475;0,5113
292090 Mascote;0,5772;0,5473;0,6026
292100 Mata de São João;0,5438;0,5539;0,5866
292105 Matina;0,4093;0,6178;0,4528
292110 Medeiros Neto;0,5689;0,6394;0,5434
292120 Miguel Calmon;0,5966;0,5495;0,548
292130 Milagres;0,5409;0,5327;0,525
292140 Mirangaba;0,477;0,5105;0,5183
292145 Mirante;0,4408;0,5088;0,5217
292150 Monte Santo;0,5262;0,6063;0,5517
292160 Morpará;0,4962;0,6504;0,5557
292170 Morro do Chapéu;0,5461;0,6113;0,5165
292180 Mortugaba;0,5174;0,5969;0,4789
