Num_Infracao;Infracao_Descricao;Responsavel;Valor_Multa;;Orgao_Autuador;Artigo;
51262;"Permitir posse/condução veíc pessoa com
CNH/PPD/ACC c/ susp. direito de dirigir";Proprietário;1467,35;Consultar o CTB;Estadual/Rodov;164 c/c 162 * II;
51341;"Permitir posse/condução veíc a pessoa com CNH
categoria diferente da do veículo";Proprietário;880,41;Consultar o CTB;Estadual/Rodov;164 c/c 162 * III;
51342;"Permitir posse/condução veíc a pessoa com PPD
categoria diferente da do veículo";Proprietário;880,41;Consultar o CTB;Estadual/Rodov;164 c/c 162 * III;
51420;"Permitir posse/condução do veíc a pessoa com
CNH/PPD vencida há mais de 30 dias";Proprietário;293,47;Consultar o CTB;Estadual/Rodov;164 c/c 162 * V;
51501;"Permitir posse/condução do veículo a pessoa sem
usar lentes corretoras de visão";Proprietário;293,47;Consultar o CTB;Estadual/Rodov;164 c/c 162 * VI;
51502;"Permitir posse/condução do veículo a pessoa s/
usar aparelho auxiliar de audição";Proprietário;293,47;Consultar o CTB;Estadual/Rodov;164 c/c 162 * VI;
51503;"Permitir posse/condução do veículo a pessoa sem
usar aparelho de prótese física";Proprietário;293,47;Consultar o CTB;Estadual/Rodov;164 c/c 162 * VI;
51504;Permitir posse/cond veíc s/ adaptações impostas concessão/renovação licença cond;Proprietário;293,47;Consultar o CTB;Estadual/Rodov;164 c/c 162 * VI;
64670;"Deixar de sinalizar a via p/ tornar visível o local
qdo a carga for derramada";Condutor;195,23;Consultar o CTB;Municipal/Rodov;225*II;
65300;Usar no veículo equip c/ som em volume/freqüência não autorizados pelo Contran;Condutor;195,23;Consultar CTB;Municipal/Rodov;228;
66101;Conduzir o veículo com a cor alterada;Proprietário;195,23;Consultar CTB;Estadual/Rodov;230*VII;
66102;Conduzir o veículo com característica alterada;Proprietário;195,23;Consultar CTB;Estadual/Rodov;230*VII;
66290;"Conduzir veículo s/ ter sido submetido à inspeção
seg veicular, qdo obrigatória";Proprietário;195,23;Consultar CTB;Estadual/Rodov;230 * VIII;
66371;Conduzir o veículo sem equipamento obrigatório;Proprietário;195,23;Consultar CTB;Estadual/Rodov;230*IX;
